severity,comparison,mean_delta_macro_f1,std_delta_macro_f1,min_delta_macro_f1,max_delta_macro_f1
0.02,Temporal-70 robust w=11 minus Temporal-82 original,0.37738053335010063,0.02162025535541596,0.32443452725992067,0.437784194106927
0.02,Temporal-70 robust w=11 minus Temporal-70 unsmoothed,0.19582871465628465,0.025576196285498093,0.15364843252916566,0.26242354620232206
0.05,Temporal-70 robust w=11 minus Temporal-82 original,0.25416448625949284,0.02171534103020418,0.2099453460580439,0.3030220802229841
0.05,Temporal-70 robust w=11 minus Temporal-70 unsmoothed,0.07012346583437898,0.022924486636379075,0.049147045352923524,0.12141471439837698
0.1,Temporal-70 robust w=11 minus Temporal-82 original,0.21507310564341728,0.031277671462842625,0.14226519584398073,0.2964764368634339
0.1,Temporal-70 robust w=11 minus Temporal-70 unsmoothed,0.035757270279027906,0.02768559928379721,-0.027673664881691873,0.09837445389659272
