comparison,delta,ci_low,ci_high
Temporal-70 robust w=11 minus Temporal-82 original,0.0018184448493639982,-0.01947849814393647,0.024383946920347264
Temporal-70 robust w=11 minus Temporal-70 unsmoothed,0.005689999956044689,-0.01564509213428359,0.028418347088033067
