window,clean_oof_macro_f1,stressed_oof_macro_f1_mean,stressed_oof_macro_f1_std,stressed_oof_macro_f1_min,stressed_oof_macro_f1_max,clean_retention_vs_unsmoothed,eligible
1,0.8632003428408511,0.25829668061360817,0.019616203506884297,0.23897787820039862,0.27900842331951053,1.0,True
3,0.859553659060238,0.3517915894810078,0.0601117155313286,0.2927114747368076,0.413806923584004,0.9957753911813663,True
5,0.8614930403159826,0.42966340982197365,0.07830828866413458,0.35618094933984107,0.5066614221733547,0.9980221248299674,True
7,0.8567606672035192,0.4661524785010769,0.06519756887098091,0.40565026975164276,0.5308424790093836,0.9925397670532213,True
11,0.8564231241735578,0.5021992704723434,0.0650009566877901,0.4366373474045151,0.5658241070380647,0.9921487303341551,True
