class,class_name,feature,mean_abs_shap
2,Partial discharge,C2H2_std,0.7537445903105723
2,Partial discharge,C2H2_first,0.7239010465232446
2,Partial discharge,C2H2_min,0.7070901843513727
2,Partial discharge,C2H2_max,0.7035039201188488
2,Partial discharge,H2_late_mean,0.7014294406490281
2,Partial discharge,H2_trend_r2,0.6864029627651093
2,Partial discharge,H2_delta,0.6825335458615823
2,Partial discharge,H2_mean_diff,0.6825335458605009
2,Partial discharge,H2_max,0.6304187173529018
2,Partial discharge,C2H2_positive_diff_fraction,0.6203941233788364
2,Partial discharge,H2_min,0.6005523984939344
2,Partial discharge,CO_positive_diff_fraction,0.6004791937489495
2,Partial discharge,CO_first,0.594425045074029
2,Partial discharge,H2_q25,0.586244008598187
2,Partial discharge,C2H2_slope,0.5749278495989758
2,Partial discharge,H2_max_abs_diff,0.5342243740691764
2,Partial discharge,corr_H2_C2H2,0.5229521474213943
2,Partial discharge,H2_std_diff,0.5014295453035728
2,Partial discharge,H2_slope,0.49224771074358215
2,Partial discharge,CO_trend_r2,0.4853726768929621
2,Partial discharge,C2H4_slope,0.4782657231790736
2,Partial discharge,corr_CO_C2H2,0.4426173449855819
2,Partial discharge,C2H4_last,0.429752971584359
2,Partial discharge,H2_q75,0.40991199538293754
2,Partial discharge,H2_median,0.3973124039072025
2,Partial discharge,CO_std_diff,0.39588151212803574
2,Partial discharge,CO_max_abs_diff,0.3780519525845705
2,Partial discharge,corr_C2H4_C2H2,0.36949406106338106
2,Partial discharge,H2_mean,0.3428863872073232
2,Partial discharge,C2H4_std_diff,0.3254952334194371
2,Partial discharge,CO_last,0.3023740632286949
2,Partial discharge,CO_mean_diff,0.2861607600975134
2,Partial discharge,CO_delta,0.28616076009732605
2,Partial discharge,C2H2_std_diff,0.2823922849568518
2,Partial discharge,C2H2_last,0.2801857913933636
2,Partial discharge,C2H2_median,0.26908419759049285
2,Partial discharge,C2H4_min,0.26259129694805644
2,Partial discharge,C2H4_max_abs_diff,0.2484516368418929
2,Partial discharge,corr_H2_C2H4,0.24427895245012993
2,Partial discharge,C2H2_q75,0.22523187476771256
2,Partial discharge,C2H4_early_mean,0.20719743302516092
2,Partial discharge,C2H4_late_mean,0.19862653447375864
2,Partial discharge,C2H2_late_minus_early,0.1891267577569925
2,Partial discharge,corr_CO_C2H4,0.15552258529459684
2,Partial discharge,C2H4_trend_r2,0.14507250659065993
