feature_set,n_features,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,cv_fit_seconds_mean,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,fit_seconds,inference_ms_per_case
Snapshot_final_value,4,0.8890964267578344,0.009522944537296924,0.8861675660464409,0.037404537200927734,0.9577777777777777,0.9150581419539785,0.9060898606381965,0.9574889022219527,0.03611519999685697,0.0005776666673935122
Statistical_summary_28,28,0.9157853812592304,0.01594174702027545,0.913174401014231,0.12068486213684082,0.9677777777777777,0.9244398389262861,0.9232014772454638,0.9682277144835217,0.17065630000433885,0.0007295555486861202
Full_temporal_82,82,0.9151149577722736,0.030043484423776967,0.9116766584575823,0.20633163452148437,0.96,0.9104725106450019,0.9026070418115872,0.9607952787498242,0.2602117000205908,0.0017233333265822795
