class_weight_strategy,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,cv_fit_seconds_mean,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,fit_seconds,inference_ms_per_case
none,0.9151149577722736,0.030043484423776967,0.9116766584575823,0.3578836441040039,0.96,0.9104725106450019,0.9026070418115872,0.9607952787498242,0.32185050001135096,0.0016371110945733057
balanced,0.9130559052360778,0.027869067929819,0.9260454788221952,0.42307496070861816,0.9555555555555556,0.9493152994547074,0.9100105936240102,0.9574397200776696,0.46600350001244806,0.005267222230840061
