metric,comparison_a,comparison_b,score_a,score_b,difference_b_minus_a,ci95_low,ci95_high,bootstrap_samples,representation,retention_75_over_100
accuracy,Statistical_28_75pct,Statistical_28_100pct,0.94,0.9677777777777777,0.02777777777777779,0.014444444444444482,0.0411111111111111,5000,Statistical_28,
balanced_accuracy,Statistical_28_75pct,Statistical_28_100pct,0.8530316192512769,0.9244398389262861,0.07140821967500921,0.02437329588677059,0.11922261208629215,5000,Statistical_28,
macro_f1,Statistical_28_75pct,Statistical_28_100pct,0.8416711941391892,0.9232014772454638,0.08153028310627453,0.04224117789413794,0.12489135533467956,5000,Statistical_28,0.9116874429734074
accuracy,Full_temporal_82_75pct,Full_temporal_82_100pct,0.9566666666666667,0.96,0.0033333333333332993,-0.007777777777777772,0.014444444444444371,5000,Full_temporal_82,
balanced_accuracy,Full_temporal_82_75pct,Full_temporal_82_100pct,0.9034565986289431,0.9104725106450019,0.0070159120160587785,-0.028836561929717074,0.04238750003841989,5000,Full_temporal_82,
macro_f1,Full_temporal_82_75pct,Full_temporal_82_100pct,0.8971428631169127,0.9026070418115872,0.005464178694674526,-0.02708939593458932,0.036383593486951915,5000,Full_temporal_82,0.9939462263847315
