metric,estimate,ci95_low,ci95_high,bootstrap_samples
accuracy,0.96,0.9466666666666667,0.9722222222222222,5000
balanced_accuracy,0.9104725106450019,0.8700739604776153,0.9463391264840563,5000
macro_f1,0.9026070418115872,0.8663855814309135,0.9342756007576075,5000
weighted_f1,0.9607952787498242,0.9477970467763579,0.9728009770560875,5000
