class_label,class_name,precision,recall,f1,support
1,Normal mode,0.9889042995839112,0.9753761969904241,0.9820936639118457,731
2,Partial discharge,0.9444444444444444,0.8947368421052632,0.918918918918919,38
3,Low energy discharge,0.8571428571428571,0.8571428571428571,0.8571428571428571,49
4,Low-temperature overheating,0.7978723404255319,0.9146341463414634,0.8522727272727273,82
