threshold,persistence,accuracy,balanced_accuracy,macro_f1,weighted_f1,endpoint_macro_f1_reference,retention_vs_endpoint,mean_stop_percent,median_stop_percent,p25_stop_percent,p75_stop_percent,fraction_stopped_by_50,fraction_stopped_by_75,fraction_stopped_before_100,fraction_threshold_satisfied,minimum_class_recall,recall_class_1,recall_class_2,recall_class_3,recall_class_4,meets_retention_constraint,meets_class_recall_constraint,eligible
0.5,1,0.88,0.6450321970928623,0.6587924694721867,0.8743221311436946,0.9127386927950664,0.7217755472322271,10.266666666666667,10.0,10.0,10.0,1.0,1.0,1.0,1.0,0.30973451327433627,0.9571847507331378,0.6966292134831461,0.30973451327433627,0.616580310880829,False,False,False
0.55,1,0.8795238095238095,0.6497469786657726,0.6603523499516888,0.8745191786959442,0.9127386927950664,0.723484558246897,10.616666666666667,10.0,10.0,10.0,0.9995238095238095,1.0,1.0,1.0,0.3274336283185841,0.9565982404692082,0.7191011235955056,0.3274336283185841,0.5958549222797928,False,False,False
0.575,1,0.8847619047619047,0.6610477845454175,0.671519276743116,0.8795948387929078,0.9127386927950664,0.7357190859157425,10.902380952380952,10.0,10.0,10.0,0.9985714285714286,1.0,1.0,1.0,0.336283185840708,0.9601173020527859,0.7415730337078652,0.336283185840708,0.6062176165803109,False,False,False
0.6,1,0.8876190476190476,0.6716154525951502,0.681032666412085,0.8825367985281093,0.9127386927950664,0.7461419919939721,11.178571428571429,10.0,10.0,10.0,0.9980952380952381,1.0,1.0,1.0,0.34513274336283184,0.9607038123167155,0.7640449438202247,0.34513274336283184,0.616580310880829,False,False,False
0.625,1,0.8876190476190476,0.6754265230147951,0.682718702353837,0.8826879859380008,0.9127386927950664,0.7479892194152058,11.480952380952381,10.0,10.0,10.0,0.9966666666666667,1.0,1.0,1.0,0.34513274336283184,0.9595307917888563,0.7752808988764045,0.34513274336283184,0.6217616580310881,False,False,False
0.65,1,0.8904761904761904,0.6869112436574941,0.6925356613412322,0.8859011869577531,0.9127386927950664,0.7587447171988407,11.802380952380952,10.0,10.0,10.0,0.9952380952380953,1.0,1.0,1.0,0.36283185840707965,0.9601173020527859,0.797752808988764,0.36283185840707965,0.6269430051813472,False,False,False
0.675,1,0.8923809523809524,0.6892430625265201,0.6946259357774786,0.887359410335733,0.9127386927950664,0.7610348298595031,12.209523809523809,10.0,10.0,10.0,0.9933333333333333,1.0,1.0,1.0,0.35398230088495575,0.9618768328445748,0.8089887640449438,0.35398230088495575,0.6321243523316062,False,False,False
0.7,1,0.8976190476190476,0.7010959782442334,0.7082974851126064,0.8926461694463909,0.9127386927950664,0.776013431559034,12.773809523809524,10.0,10.0,10.0,0.9890476190476191,0.9985714285714286,1.0,1.0,0.37168141592920356,0.9648093841642229,0.8202247191011236,0.37168141592920356,0.6476683937823834,False,False,False
0.75,1,0.9019047619047619,0.7111419868535016,0.717955257840735,0.8974107661495007,0.9127386927950664,0.7865945242686613,13.85952380952381,10.0,10.0,10.0,0.9771428571428571,0.9971428571428571,0.9990476190476191,0.9995238095238095,0.3893805309734513,0.9665689149560117,0.8202247191011236,0.3893805309734513,0.6683937823834197,False,False,False
0.775,1,0.9019047619047619,0.7128428059131524,0.7202406702192892,0.8979307678837395,0.9127386927950664,0.7890984308046662,14.333333333333334,10.0,10.0,10.0,0.9738095238095238,0.9966666666666667,0.9990476190476191,0.9995238095238095,0.39823008849557523,0.9653958944281525,0.8089887640449438,0.39823008849557523,0.6787564766839378,False,False,False
0.8,1,0.91,0.7270891390032401,0.7397129800405922,0.9054950309294436,0.9127386927950664,0.8104323678613645,15.09047619047619,10.0,10.0,10.0,0.9657142857142857,0.9952380952380953,0.9985714285714286,0.9990476190476191,0.415929203539823,0.9718475073313783,0.8314606741573034,0.415929203539823,0.689119170984456,False,False,False
0.825,1,0.9133333333333333,0.7392725970499898,0.7514281103022864,0.909393010602156,0.9127386927950664,0.82326750934728,16.0,10.0,10.0,10.0,0.9557142857142857,0.9938095238095238,0.9980952380952381,0.9985714285714286,0.4424778761061947,0.9724340175953079,0.8426966292134831,0.4424778761061947,0.6994818652849741,False,False,False
0.85,1,0.9195238095238095,0.7614271237629586,0.7714466888852154,0.9163918782022782,0.9127386927950664,0.8451999405468672,17.09285714285714,10.0,10.0,10.0,0.9442857142857143,0.9904761904761905,0.9971428571428571,0.9971428571428571,0.48672566371681414,0.9736070381231672,0.8651685393258427,0.48672566371681414,0.7202072538860104,False,False,False
0.875,1,0.9204761904761904,0.7611237795114094,0.7729468950701278,0.9172994366316869,0.9127386927950664,0.8468435721763299,18.16190476190476,10.0,10.0,10.0,0.9280952380952381,0.9861904761904762,0.9966666666666667,0.9966666666666667,0.49557522123893805,0.9747800586510263,0.8539325842696629,0.49557522123893805,0.7202072538860104,False,False,False
0.9,1,0.9214285714285714,0.7579264174331816,0.7742465887203178,0.9182323542571207,0.9127386927950664,0.8482675215064608,19.37142857142857,10.0,10.0,15.0,0.9095238095238095,0.981904761904762,0.9952380952380953,0.9952380952380953,0.5132743362831859,0.9771260997067449,0.8314606741573034,0.5132743362831859,0.7098445595854922,False,False,False
0.925,1,0.929047619047619,0.7863531695328453,0.8007508256743938,0.9269838824355219,0.9127386927950664,0.8773056648034349,20.95,10.0,10.0,20.0,0.8861904761904762,0.9757142857142858,0.9933333333333333,0.9933333333333333,0.584070796460177,0.9777126099706744,0.8426966292134831,0.584070796460177,0.7409326424870466,False,False,False
0.825,2,0.9280952380952381,0.7891855888561754,0.802813724422839,0.9260783651240428,0.9127386927950664,0.8795657845559218,23.183333333333334,15.0,15.0,15.0,0.9042857142857142,0.9809523809523809,0.9933333333333333,0.9957142857142857,0.5663716814159292,0.9747800586510263,0.8539325842696629,0.5663716814159292,0.7616580310880829,False,False,False
0.95,1,0.9338095238095238,0.810863460872211,0.8174618599172382,0.9323608633701705,0.9127386927950664,0.8956143377837272,23.202380952380953,10.0,10.0,35.0,0.8580952380952381,0.9619047619047619,0.9861904761904762,0.9895238095238095,0.6371681415929203,0.9777126099706744,0.8876404494382022,0.6371681415929203,0.7409326424870466,False,False,False
0.875,2,0.9347619047619048,0.8080406154703793,0.8243445078349316,0.9329551605672566,0.9127386927950664,0.9031549931454681,25.178571428571427,15.0,15.0,25.0,0.8738095238095238,0.9661904761904762,0.9914285714285714,0.9933333333333333,0.6106194690265486,0.9782991202346041,0.8764044943820225,0.6106194690265486,0.7668393782383419,False,False,False
0.9,2,0.9366666666666666,0.8171218296211193,0.8309200429463082,0.9352659476169796,0.9127386927950664,0.9103591745429285,26.583333333333332,15.0,15.0,30.0,0.8514285714285714,0.9571428571428572,0.9871428571428571,0.9895238095238095,0.6371681415929203,0.9777126099706744,0.8764044943820225,0.6371681415929203,0.7772020725388601,False,False,False
0.975,1,0.9442857142857143,0.8443459915423118,0.8502491716748273,0.9432299607818561,0.9127386927950664,0.9315362418471838,27.25952380952381,10.0,10.0,45.0,0.800952380952381,0.9328571428571428,0.969047619047619,0.9742857142857143,0.7079646017699115,0.9812316715542522,0.9213483146067416,0.7079646017699115,0.7668393782383419,False,False,False
0.925,2,0.9438095238095238,0.8461318396645963,0.8537095867816586,0.9429234263583263,0.9127386927950664,0.9353274858627459,28.45952380952381,15.0,15.0,40.0,0.8233333333333334,0.9414285714285714,0.979047619047619,0.9828571428571429,0.7079646017699115,0.9788856304985337,0.9101123595505618,0.7079646017699115,0.7875647668393783,False,False,False
0.95,2,0.9495238095238095,0.866670576380548,0.8740001736185522,0.9487623497093632,0.9127386927950664,0.9575579303448989,30.811904761904763,15.0,15.0,45.0,0.7885714285714286,0.9195238095238095,0.9661904761904762,0.9714285714285714,0.7345132743362832,0.980058651026393,0.9438202247191011,0.7345132743362832,0.8082901554404145,False,False,False
0.975,2,0.9538095238095238,0.8818984473381613,0.8845829573520753,0.9532474112416934,0.9127386927950664,0.9691524686471106,34.46666666666667,15.0,15.0,55.0,0.7304761904761905,0.8871428571428571,0.9461904761904761,0.9514285714285714,0.7876106194690266,0.9818181818181818,0.9550561797752809,0.7876106194690266,0.8031088082901554,False,True,False
0.95,3,0.9571428571428572,0.8842607166047909,0.8912939376129825,0.9567047236883202,0.9127386927950664,0.9765050442680216,37.12619047619047,20.0,20.0,55.0,0.7271428571428571,0.8847619047619047,0.9485714285714286,0.9576190476190476,0.7964601769911505,0.9841642228739003,0.9325842696629213,0.7964601769911505,0.8238341968911918,True,True,True
0.975,3,0.9576190476190476,0.8854131933445757,0.8921494701233432,0.9570866800617613,0.9127386927950664,0.9774423689559242,40.55952380952381,20.0,20.0,60.0,0.679047619047619,0.849047619047619,0.9242857142857143,0.9338095238095238,0.8031088082901554,0.9853372434017595,0.9213483146067416,0.831858407079646,0.8031088082901554,True,True,True
