class_label,class_name,precision,recall,f1,support,mean_stop_percent,median_stop_percent,fraction_stopped_by_75,fraction_stopped_before_100
1,Normal mode,0.9875346260387812,0.9753761969904241,0.981417756366139,731,30.88235294117647,20.0,0.9288645690834473,0.9616963064295485
2,Partial discharge,0.8918918918918919,0.868421052631579,0.88,38,48.28947368421053,40.0,0.8421052631578947,0.9210526315789473
3,Low energy discharge,0.8571428571428571,0.8571428571428571,0.8571428571428571,49,75.91836734693878,75.0,0.5714285714285714,0.8163265306122449
4,Low-temperature overheating,0.782608695652174,0.8780487804878049,0.8275862068965517,82,71.40243902439025,70.0,0.5853658536585366,0.7804878048780488
