horizon_percent,observation_steps,sample_equivalent_days,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,oof_cv_seconds
10,42,21.0,0.8795238095238095,0.645117226155496,0.657687496093778,0.8742420491916963,0.89,0.7036453534155699,0.7190099142232966,0.8881172416175924,6.085582205999913
15,63,31.5,0.8757142857142857,0.642785922484556,0.6537635450396472,0.8712268515044783,0.89,0.707175520296186,0.7204220057284183,0.88837203636891,6.553460301999962
20,84,42.0,0.8804761904761905,0.6598614225778574,0.6706005879761275,0.8752871972188253,0.88,0.6711065639498777,0.6919826464834825,0.8774483887531168,5.655316160999973
25,105,52.5,0.888095238095238,0.6758048072093937,0.6925895132231171,0.8820900250325219,0.8766666666666667,0.6565466560388971,0.6809492055187607,0.8728227090857404,6.0813740859999825
30,126,63.0,0.888095238095238,0.6735073887662291,0.690084071507598,0.8821876948004532,0.8822222222222222,0.6836109357914585,0.6996069128827052,0.8801021903263568,6.655676721000077
35,147,73.5,0.8890476190476191,0.6837645102160389,0.6981154387579972,0.8848474780474597,0.8977777777777778,0.7437903587861392,0.7499781676474271,0.8971438650306748,7.238641218999987
40,168,84.0,0.8966666666666666,0.723900437238644,0.7303839392816229,0.8954737342179747,0.9044444444444445,0.7638892721610842,0.7719174645907754,0.9048638520234764,7.840099650999946
45,189,94.5,0.9028571428571428,0.7625812409780561,0.7593453203909186,0.9027352407415895,0.9111111111111111,0.7876882131782168,0.7816814781840093,0.912515387043689,7.3802737570000545
50,210,105.0,0.9142857142857143,0.7841941125214467,0.7849382217333238,0.9133685182013898,0.9244444444444444,0.815669567226837,0.8124794092885911,0.9254870681364636,7.937944814000048
55,231,115.5,0.9285714285714286,0.8189923412571318,0.8224031972817771,0.9282975774892076,0.9322222222222222,0.8407110582836591,0.8354584420997427,0.9329030292832792,5.678219306000074
60,252,126.0,0.9357142857142857,0.8315648708550012,0.8356923248409468,0.935657167209628,0.94,0.8746962826686634,0.8603553146742516,0.9407439933021329,5.664527829000008
65,273,136.5,0.9347619047619048,0.8236494748837466,0.8313540127104253,0.9345355292426838,0.9455555555555556,0.8728761021081567,0.8666170350457376,0.945890749295584,5.826312305999977
70,294,147.0,0.9438095238095238,0.8520972859695708,0.8548862502826429,0.9437035608146098,0.9533333333333334,0.8956173029560511,0.8900353366578693,0.9539356289363405,4.881649726999967
75,315,157.5,0.9547619047619048,0.8827976932650833,0.8837174903804913,0.9548597424565891,0.9566666666666667,0.9034565986289431,0.8971428631169127,0.9571211687821545,6.547898014999987
80,336,168.0,0.9552380952380952,0.8809228660519076,0.8836737270544719,0.9552871852782834,0.9622222222222222,0.9146866720536618,0.9096651512502185,0.9626439645625692,6.3016224440000315
85,357,178.5,0.960952380952381,0.8947565145215356,0.9004610644126296,0.9608539881817207,0.9622222222222222,0.9024598017252696,0.9036254086533906,0.9623435763501942,5.88878097700001
90,378,189.0,0.9619047619047619,0.9049250219005646,0.906400304044378,0.9618821898821899,0.9633333333333334,0.9135517627655892,0.9091548367864157,0.9637843168544923,5.569596864999994
95,399,199.5,0.9623809523809523,0.9040117368258006,0.9075766467918266,0.9622492287245137,0.9566666666666667,0.9114997791814579,0.8987658270967039,0.9577708899480945,5.238017216999992
100,420,210.0,0.9652380952380952,0.9078743166292098,0.9127386927950664,0.9649690522990737,0.9588888888888889,0.9148905569332847,0.9019357514162231,0.9599214737002505,6.219037583999921
