scenario,severity,repeat,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_f1_change_vs_clean,seconds
relative_gaussian_noise,0.02,0,2513,0.2388888888888889,0.5448356657049183,0.32322734134632214,0.28594504018926703,-0.5739155217705906,0.25640630800000963
relative_gaussian_noise,0.02,1,12513,0.23222222222222222,0.548197248568353,0.3255224352658852,0.27623216825918384,-0.5716204278510275,0.24736119500005316
relative_gaussian_noise,0.02,2,22513,0.22777777777777777,0.5468292595122654,0.3288924820297417,0.2704223894734889,-0.5682503810871711,0.24906934400007685
relative_gaussian_noise,0.02,3,32513,0.23,0.5339793379213942,0.30320023730519885,0.2718735850336773,-0.5939426258117139,0.24451071700002558
relative_gaussian_noise,0.02,4,42513,0.23333333333333334,0.5512460290561578,0.3350572385741846,0.27870493285667286,-0.5620856245427281,0.25802405000001727
relative_gaussian_noise,0.02,5,52513,0.24666666666666667,0.5308190864488017,0.3112066383936278,0.2986459420637402,-0.5859362247232849,0.23968991100002768
relative_gaussian_noise,0.02,6,62513,0.23222222222222222,0.5400768988970039,0.3102448011300161,0.27542506316764165,-0.5868980619868966,0.23342123199995513
relative_gaussian_noise,0.02,7,72513,0.23222222222222222,0.5407304217922653,0.31458758632671674,0.2767231280796498,-0.582555276790196,0.2371601180000198
relative_gaussian_noise,0.02,8,82513,0.24444444444444444,0.5465456520250277,0.327306213952572,0.2943886773251926,-0.5698366491643407,0.23234255599993503
relative_gaussian_noise,0.02,9,92513,0.22111111111111112,0.5295965924955528,0.3178150210468177,0.26288895301234183,-0.579327842070095,0.23594889599996804
relative_gaussian_noise,0.02,10,102513,0.24333333333333335,0.5434968715372228,0.32308389610416743,0.2928817755922555,-0.5740589670127453,0.24988617199994678
relative_gaussian_noise,0.02,11,112513,0.2288888888888889,0.5253471302244516,0.29893862623686257,0.2724089733002844,-0.5982042368800502,0.2557358699999668
relative_gaussian_noise,0.02,12,122513,0.23,0.5366861211451771,0.3060936082266357,0.272089079320272,-0.591049254890277,0.23568549799995253
relative_gaussian_noise,0.02,13,132513,0.2388888888888889,0.5571397051521448,0.33844916318886,0.28633770189688623,-0.5586936999280527,0.23271420200001103
relative_gaussian_noise,0.02,14,142513,0.22666666666666666,0.5464872622482435,0.3239749321650295,0.26769985614834857,-0.5731679309518832,0.23383167000008598
relative_gaussian_noise,0.02,15,152513,0.2411111111111111,0.542812877009179,0.3203800297371495,0.2894670487230834,-0.5767628333797632,0.23418974800006254
