scenario,severity,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,balanced_accuracy_mean,accuracy_mean,macro_f1_change_mean,seconds_mean
contiguous_gap,0.05,0.8970726252668302,0.0003141132147559699,0.8957381061152621,0.8971428631169127,0.9034394987657419,0.9566111111111111,-7.023785008253292e-05,0.25784747220001236
contiguous_gap,0.1,0.897968848410744,0.002791179542408128,0.8919293205908561,0.9042257916010183,0.9036603372429367,0.9568888888888889,0.0008259852938312274,0.2538273612999774
contiguous_gap,0.2,0.8958286925172473,0.003511178976268889,0.8886706448117941,0.9019259696744251,0.9010636555275899,0.9562777777777779,-0.001314170599665454,0.2569643296499976
linear_sensor_drift,0.05,0.8956311373857826,0.007267424108389153,0.8848941971566718,0.9064867707972777,0.904551947432106,0.9552222222222222,-0.001511725731130148,0.20322333220001382
linear_sensor_drift,0.1,0.879355426806482,0.009017315054753514,0.8618873524940274,0.89745977508796,0.8848028028866859,0.9491111111111111,-0.017787436310430636,0.2080342546499992
linear_sensor_drift,0.2,0.8371696658189547,0.01689015122664971,0.7973543091276777,0.8616130172328484,0.8437482616117169,0.9306666666666666,-0.059973197297957956,0.20719876044998956
random_missing_timestamps,0.05,0.8971428631169127,0.0,0.8971428631169127,0.8971428631169127,0.9034565986289431,0.9566666666666667,0.0,0.27561537010000164
random_missing_timestamps,0.1,0.8971428631169127,0.0,0.8971428631169127,0.8971428631169127,0.9034565986289431,0.9566666666666667,0.0,0.28308327229997304
random_missing_timestamps,0.2,0.8971428631169127,0.0,0.8971428631169127,0.8971428631169127,0.9034565986289431,0.9566666666666667,0.0,0.29547944404999954
relative_gaussian_noise,0.02,0.3179035741340105,0.010875637374686414,0.29893862623686257,0.33844916318886,0.5411424345987015,0.23322222222222222,-0.5792392889829022,0.2401132529500046
relative_gaussian_noise,0.05,0.24361993284391664,0.006821901694501209,0.2319835786712629,0.2589516177343805,0.5032798911575855,0.165,-0.6535229302729961,0.2411739387000182
relative_gaussian_noise,0.1,0.21869474401096783,0.009777975422847808,0.19701317001963556,0.2368185644088777,0.49293467148031855,0.14794444444444443,-0.6784481191059448,0.2472042715500038
