horizon_a,horizon_b,spearman_rho_all_features,spearman_p,top10_jaccard
50,75,0.6197472818101676,5.363945563582868e-10,0.25
75,100,0.5286947246982511,3.296236966688549e-07,0.25
50,100,0.4598665665371513,1.3837148718683291e-05,0.17647058823529413
