horizon_percent,group_type,group,n_features,mean_feature_importance,total_importance,share_of_total_importance
50,family,cross_gas_correlation,6,0.19840683355048808,1.1904410013029285,0.014767027114600807
50,family,endpoint_change,12,1.3079528327520777,15.695433993024933,0.1946966704748497
50,family,local_dynamics,16,0.8526323402689021,13.642117444302434,0.16922595742257984
50,family,phase_shift,12,1.2730205279661606,15.276246335593926,0.18949678614911278
50,family,statistical,28,1.0081733333175764,28.22885333289214,0.35016959439792616
50,family,trend,8,0.8227140272135749,6.581712217708599,0.08164396444093075
50,gas,C2H2,19,0.7591125730398276,14.423138887756725,0.17891427025786608
50,gas,C2H4,19,0.9136947365388416,17.36019999423799,0.2153475424227011
50,gas,CO,19,1.6339721168754715,31.04547022063396,0.38510879584277113
50,gas,H2,19,0.8734502221522819,16.595554220893355,0.20586236436206085
50,gas,cross-gas,6,0.19840683355048808,1.1904410013029285,0.014767027114600807
75,family,cross_gas_correlation,6,0.6043606627547847,3.6261639765287086,0.04115690004318187
75,family,endpoint_change,12,1.5881447762376315,19.05773731485158,0.21630499745558154
75,family,local_dynamics,16,0.9751301782422789,15.602082851876462,0.17708337751863873
75,family,phase_shift,12,0.8357503951843216,10.029004742211859,0.11382903486426012
75,family,statistical,28,1.1070920958671528,30.998578684280282,0.3518333458298121
75,family,trend,8,1.0990362600582606,8.792290080466085,0.09979234428852565
75,gas,C2H2,19,0.7259269551968023,13.792612148739243,0.15654591552240102
75,gas,C2H4,19,1.1468142517790503,21.789470783801956,0.2473101263063273
75,gas,CO,19,1.7985781037312667,34.172983970894066,0.38786279235329235
75,gas,H2,19,0.7749803563289999,14.724626770250998,0.16712426577479744
75,gas,cross-gas,6,0.6043606627547847,3.6261639765287086,0.04115690004318187
100,family,cross_gas_correlation,6,0.3959477824657592,2.375686694794555,0.02989408335078758
100,family,endpoint_change,12,1.0734378295886704,12.881253955064045,0.1620892520209392
100,family,local_dynamics,16,1.0379467445172694,16.60714791227631,0.20897345807266832
100,family,phase_shift,12,0.8891004263436062,10.669205116123274,0.1342542801316738
100,family,statistical,28,1.1033393255979624,30.89350111674295,0.38874355755965045
100,family,trend,8,0.7554169201798603,6.043335361438882,0.07604536886428076
100,gas,C2H2,19,0.6279743727195103,11.931513081670696,0.1501383357266819
100,gas,C2H4,19,1.1483722204988205,21.819072189477588,0.27455689510670117
100,gas,CO,19,1.5610590411436036,29.66012178172847,0.37322352087937166
100,gas,H2,19,0.72019665309309,13.683736408768711,0.1721871649364579
100,gas,cross-gas,6,0.3959477824657592,2.375686694794555,0.02989408335078758
